Unnamed: 0,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
623,flat,sushant lok 1 builder floors,sector 43,2.5,12920.0,3.0,3.0,2,2.0,New Property,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4629° N, 77.0772° E",28.4629,77.0772
624,house,independent,sector 31,4.6,32258.0,2.0,2.0,2,2.0,Moderately Old,1426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.4528° N, 77.0498° E",28.4528,77.0498
625,flat,shree vardhman flora,sector 90,0.65,4815.0,2.0,2.0,3,6.0,Relatively New,1222.0,1.0,0.0,0.0,0.0,0.0,0.0,174.0,"28.4085° N, 76.9369° E",28.4085,76.9369
626,flat,shree vardhman victoria,sector 70,1.65,8462.0,3.0,4.0,3,5.0,Relatively New,1527.0,0.0,1.0,0.0,0.0,1.0,2.0,49.0,"28.3968° N, 77.0233° E",28.3968,77.0233
627,flat,tulip violet,sector 69,1.19,8815.0,2.0,3.0,1,0.0,Relatively New,1500.0,1.0,0.0,0.0,0.0,0.0,2.0,174.0,"28.3966° N, 77.0341° E",28.3966,77.0341
628,flat,adani m2k oyster grande,sector 102,4.55,10000.0,4.0,4.0,3+,11.0,Relatively New,4630.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,"28.4750° N, 76.9715° E",28.475,76.9715
629,flat,signature global synera,sector 81,0.38,9500.0,1.0,1.0,2,3.0,Relatively New,444.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,"28.3867° N, 76.9485° E",28.3867,76.9485
630,flat,ireo uptown,sector 66,4.85,12999.0,4.0,4.0,3+,15.0,Relatively New,3500.0,1.0,1.0,1.0,1.0,0.0,2.0,156.0,"28.3925° N, 77.0541° E",28.3925,77.0541
631,flat,bptp mansions park prime,sector 66,3.0,10854.0,4.0,4.0,3,3.0,Relatively New,2700.0,1.0,1.0,0.0,1.0,1.0,2.0,174.0,"28.3925° N, 77.0541° E",28.3925,77.0541
632,house,independent,sector 43,3.35,26973.0,1.0,1.0,0,1.0,Old Property,1242.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,"28.4629° N, 77.0772° E",28.4629,77.0772
633,flat,dhoot time residency,sector 63,3.0,18270.0,3.0,3.0,3+,14.0,Relatively New,1642.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,"28.3971° N, 77.0867° E",28.3971,77.0867
634,house,godrej meridien,sector 106,5.6,14000.0,5.0,4.0,3+,33.0,New Property,4000.0,1.0,1.0,1.0,1.0,0.0,0.0,151.0,"28.5007° N, 77.0003° E",28.5007,77.0003
635,flat,corona gracieux,sector 76,1.08,5510.0,3.0,3.0,3,1.0,New Property,1774.0,0.0,1.0,0.0,0.0,0.0,0.0,58.0,"28.3935° N, 76.9888° E",28.3935,76.9888
636,flat,conscient heritage max,sector 102,1.7,11333.0,3.0,4.0,3+,8.0,Relatively New,1700.0,0.0,1.0,0.0,1.0,0.0,2.0,174.0,"28.4750° N, 76.9715° E",28.475,76.9715
637,flat,m3m urbana,sector 67,0.95,10894.0,1.0,1.0,1,17.0,Relatively New,826.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,"28.3859° N, 77.0608° E",28.3859,77.0608
639,house,eros rosewood city,sector 49,4.05,20769.0,3.0,3.0,3,2.0,Moderately Old,2000.0,0.0,1.0,1.0,0.0,0.0,0.0,46.0,"28.4121° N, 77.0480° E",28.4121,77.048
640,flat,la vida by tata housing,sector 113,3.35,12444.0,4.0,4.0,3+,11.0,Relatively New,2991.0,1.0,1.0,0.0,0.0,0.0,0.0,174.0,"28.5287° N, 77.0233° E",28.5287,77.0233
641,flat,m3m skywalk,sector 74,1.6,11380.0,2.0,2.0,2,28.0,New Property,1272.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,"28.4158° N, 77.0118° E",28.4158,77.0118
642,flat,apex our homes,sector 37c,0.33,3568.0,2.0,2.0,1,3.0,Relatively New,850.0,0.0,0.0,0.0,0.0,0.0,2.0,158.0,"28.4515° N, 76.9882° E",28.4515,76.9882
643,flat,shree vardhman flora,sector 90,0.92,4907.0,3.0,4.0,3,4.0,Relatively New,1493.0,0.0,1.0,0.0,0.0,0.0,0.0,116.0,"28.4085° N, 76.9369° E",28.4085,76.9369
644,flat,ats tourmaline,sector 109,2.25,8704.0,3.0,4.0,3,14.0,Relatively New,2339.0,0.0,1.0,0.0,0.0,0.0,0.0,101.0,"28.5073° N, 77.0089° E",28.5073,77.0089
645,flat,spaze privy at,sector 84,1.35,9643.0,3.0,3.0,3,7.0,Relatively New,1750.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,"28.3979° N, 76.9736° E",28.3979,76.9736
646,flat,sidhartha ncr one phase,sector 95,0.56,4106.0,2.0,2.0,2,10.0,Relatively New,1234.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,"28.4172° N, 76.9081° E",28.4172,76.9081
647,flat,"godrej 101, sector 79",sector 79,1.25,9038.0,2.0,2.0,3,1.0,Relatively New,1383.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3624° N, 76.9787° E",28.3624,76.9787
648,flat,vatika the seven lamps,sector 82,0.94,6569.0,2.0,2.0,2,12.0,Relatively New,1299.0,1.0,0.0,0.0,0.0,0.0,2.0,103.0,"28.3935° N, 76.9600° E",28.3935,76.96
649,flat,indiabulls centrum park,sector 103,1.34,7882.0,3.0,3.0,3+,12.0,Relatively New,1725.0,1.0,1.0,1.0,1.0,0.0,2.0,38.0,"28.4949° N, 76.9845° E",28.4949,76.9845
650,flat,unitech vistas,sector 70,0.53,4801.0,2.0,2.0,2,9.0,Under Construction,991.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,"28.3968° N, 77.0233° E",28.3968,77.0233
651,house,independent,sector 45,8.5,26235.0,5.0,4.0,2,1.0,Moderately Old,3240.0,0.0,1.0,0.0,1.0,0.0,2.0,49.0,"28.4466° N, 77.0660° E",28.4466,77.066
652,flat,conscient heritage max,sector 102,2.0,9307.0,3.0,4.0,3+,13.0,Relatively New,1900.0,1.0,1.0,0.0,0.0,0.0,2.0,174.0,"28.4750° N, 76.9715° E",28.475,76.9715
653,house,independent,sector 23,4.0,16006.0,3.0,3.0,2,2.0,Moderately Old,2430.0,0.0,1.0,0.0,0.0,0.0,2.0,115.0,"28.5121° N, 77.0478° E",28.5121,77.0478
654,flat,puri emerald bay,sector 104,1.59,10905.0,2.0,2.0,2,12.0,Relatively New,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,"28.4788° N, 76.9960° E",28.4788,76.996
655,flat,signature global synera,sector 81,0.49,6667.0,2.0,2.0,3,5.0,Relatively New,700.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,"28.3867° N, 76.9485° E",28.3867,76.9485
656,flat,ss the leaf,sector 85,2.0,6579.0,4.0,5.0,3+,1.0,Relatively New,2545.0,0.0,1.0,1.0,0.0,0.0,0.0,106.0,"28.4042° N, 76.9513° E",28.4042,76.9513
657,flat,bhagwati sadan,sector 12,1.15,5500.0,3.0,4.0,2,2.0,Old Property,2000.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,"28.4723° N, 77.0320° E",28.4723,77.032
658,house,vipul tatvam villa,sector 48,19.5,22222.0,5.0,6.0,3,2.0,Moderately Old,8775.0,1.0,1.0,1.0,1.0,0.0,2.0,110.0,"28.4177° N, 77.0359° E",28.4177,77.0359
659,flat,bptp terra,sector 37d,1.98,9037.0,3.0,3.0,3+,12.0,New Property,1983.0,1.0,0.0,0.0,0.0,0.0,2.0,49.0,"28.4478° N, 76.9703° E",28.4478,76.9703
660,flat,conscient heritage max,sector 102,1.9,9784.0,3.0,4.0,3+,20.0,Relatively New,1757.0,0.0,1.0,0.0,0.0,0.0,0.0,165.0,"28.4750° N, 76.9715° E",28.475,76.9715
661,flat,godrej nature plus,sector 33,1.3,8349.0,3.0,2.0,3+,18.0,New Property,1409.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,"28.4420° N, 77.0207° E",28.442,77.0207
662,flat,central park resorts,sector 48,11.25,28266.0,4.0,5.0,3+,2.0,Relatively New,4422.0,0.0,1.0,0.0,1.0,0.0,0.0,45.0,"28.4177° N, 77.0359° E",28.4177,77.0359
663,flat,emaar mgf the palm drive,sector 66,3.4,15455.0,3.0,4.0,3,9.0,Relatively New,2200.0,0.0,1.0,1.0,0.0,0.0,2.0,96.0,"28.3925° N, 77.0541° E",28.3925,77.0541
664,flat,conscient heritage max,sector 102,1.75,9063.0,3.0,4.0,3+,16.0,Relatively New,1748.0,0.0,1.0,0.0,0.0,0.0,0.0,134.0,"28.4750° N, 76.9715° E",28.475,76.9715
665,flat,smart world orchard,sector 61,1.65,13750.0,2.0,2.0,2,1.0,Under Construction,1333.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,"28.4050° N, 77.0963° E",28.405,77.0963
666,flat,sanskriti apartment,sector 10a,1.1,6667.0,3.0,3.0,3,2.0,Moderately Old,1833.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,"28.4469° N, 77.0106° E",28.4469,77.0106
667,flat,ats triumph,sector 104,4.45,6846.0,4.0,5.0,3+,27.0,Relatively New,7222.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,"28.4788° N, 76.9960° E",28.4788,76.996
668,flat,pareena laxmi apartments,sector 99a,0.32,5787.0,2.0,2.0,2,11.0,New Property,502.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,"28.4561° N, 76.9542° E",28.4561,76.9542
669,house,international city by sobha phase 1,sector 109,5.85,26423.0,4.0,5.0,3+,2.0,Relatively New,2214.0,0.0,1.0,0.0,0.0,0.0,2.0,85.0,"28.5073° N, 77.0089° E",28.5073,77.0089
670,flat,ireo the corridors,sector 67a,2.0,11581.0,3.0,3.0,2,6.0,Under Construction,1346.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,"28.3960° N, 77.0372° E",28.396,77.0372
671,flat,m3m woodshire,sector 107,1.4,5930.0,3.0,4.0,0,1.0,New Property,2137.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,"28.5052° N, 76.9729° E",28.5052,76.9729
672,flat,whiteland  the aspen,sector 76,3.5,11917.0,3.0,4.0,3,8.0,Under Construction,2937.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"28.3935° N, 76.9888° E",28.3935,76.9888
673,house,unitech espace,sector 50,11.0,40741.0,4.0,4.0,3+,2.0,Moderately Old,2700.0,0.0,1.0,0.0,0.0,0.0,2.0,88.0,"28.4178° N, 77.0628° E",28.4178,77.0628
